CategoryCode,ItemCode,Week,WeeklySales
category_2,117610,2021_44,65
category_2,1067092,2021_44,204
category_2,815101,2021_44,18
category_2,172033,2021_44,178
category_2,1067074,2021_44,32
category_2,1071106,2021_44,25
category_2,30877,2021_44,72
category_2,877624,2021_44,31
category_2,1098493,2021_44,12
category_1,1048975,2021_44,8
category_1,1075651,2021_44,7
category_1,1061341,2021_44,72
category_1,17287,2021_44,21
category_3,893824,2021_44,69
category_2,118033,2021_44,11
category_3,1060630,2021_44,46
category_1,1058713,2021_44,34
category_2,837943,2021_44,89
category_2,23569,2021_44,30
category_2,906586,2021_44,11
category_1,36898,2021_44,74
category_2,262384,2021_44,19
category_2,1010068,2021_44,18
category_2,1064473,2021_44,40
category_1,119554,2021_44,137
category_1,839356,2021_44,18
category_1,371239,2021_44,9
category_2,174436,2021_44,62
category_2,1076938,2021_44,17
category_2,216151,2021_44,9
category_1,1021264,2021_44,10
category_2,210868,2021_44,8
category_2,1098502,2021_44,3
category_1,1054978,2021_44,62
category_2,399220,2021_44,19
category_2,39436,2021_44,15
category_3,88450,2021_44,142
category_1,1032586,2021_44,28
category_1,1032568,2021_44,8
category_2,836152,2021_44,16
category_1,416212,2021_44,6
category_3,1081069,2021_44,17
category_4,1003192,2021_44,8
category_1,1044619,2021_44,61
category_4,872260,2021_44,11
category_1,38518,2021_44,6
category_1,1047967,2021_44,94
category_4,1003156,2021_44,56
category_3,1047130,2021_44,61
category_2,1105009,2021_44,10
category_3,131983,2021_44,30
category_4,731104,2021_44,23
category_2,59749,2021_44,28
category_2,64978,2021_44,4
category_1,1061638,2021_44,51
category_1,145978,2021_44,27
category_2,40759,2021_44,62
category_2,87046,2021_44,11
category_4,836584,2021_44,163
category_1,1081321,2021_44,17
category_4,123307,2021_44,330
category_3,1066570,2021_44,99
category_1,1032559,2021_44,12
category_4,1074823,2021_44,121
category_1,1085749,2021_44,7
category_1,43657,2021_44,14
category_2,99079,2021_44,25
category_2,1090240,2021_44,19
category_1,35449,2021_44,5
category_2,132028,2021_44,211
category_3,16936,2021_44,43
category_2,110320,2021_44,49
category_2,43630,2021_44,24
category_1,43738,2021_44,5
category_2,32245,2021_44,27
category_1,1067119,2021_44,42
category_1,1032541,2021_44,197
category_3,169504,2021_44,664
category_2,1026871,2021_44,9
category_2,745945,2021_44,39
category_2,836125,2021_44,42
category_1,379249,2021_44,35
category_4,245581,2021_44,56
category_3,1101661,2021_44,23
category_2,913561,2021_44,10
category_2,111382,2021_44,11
category_4,1003183,2021_44,4
category_1,1049776,2021_44,12
category_3,1063600,2021_44,7
category_4,23200,2021_44,80
category_3,1081078,2021_44,19
category_1,42424,2021_44,23
category_2,20824,2021_44,163
category_2,903976,2021_44,16
category_1,1090105,2021_44,8
category_2,858886,2021_44,9
category_3,1064572,2021_44,16
category_1,124774,2021_44,22
category_3,1081060,2021_44,84
category_2,1044502,2021_44,12
category_4,1003147,2021_44,57
category_1,48940,2021_44,12
category_2,124954,2021_44,39
category_2,1006108,2021_44,4
category_1,17296,2021_44,578
category_2,75886,2021_44,3
category_2,1070818,2021_44,15
category_1,370195,2021_44,44
category_3,37861,2021_44,143
category_1,1056463,2021_44,63
category_1,1044682,2021_44,41
category_1,86992,2021_44,41
category_2,50785,2021_44,28
category_2,248272,2021_44,30
category_2,1076920,2021_44,9
category_2,86974,2021_44,35
category_2,1006090,2021_44,16
category_2,1092184,2021_44,16
category_2,906595,2021_44,7
category_2,1101571,2021_44,7
category_2,1103056,2021_44,27
category_3,1090024,2021_44,14
category_2,1090258,2021_44,44
category_2,173617,2021_44,16
category_2,111436,2021_44,2
