CategoryCode,ItemCode,DateID,DailySales
category_2,117610,11/6/2021,7
category_4,836584,11/18/2021,16
category_1,370195,1/24/2022,6
category_2,172582,10/30/2021,5
category_2,1006009,10/30/2021,5
category_2,903976,1/6/2022,1
category_1,145978,10/30/2021,3
category_1,1061341,1/24/2022,5
category_1,371239,1/5/2022,1
category_2,865933,2/8/2022,3
category_3,1081087,1/4/2022,1
category_1,1061341,12/7/2021,8
category_1,1032550,10/30/2021,1
category_2,1090249,10/23/2021,3
category_3,169504,1/5/2022,120
category_2,1067092,11/6/2021,8
category_1,1054978,2/8/2022,7
category_1,1050046,10/30/2021,3
category_1,1044610,12/7/2021,2
category_2,138742,2/8/2022,9
category_2,815101,11/6/2021,4
category_1,59047,12/7/2021,2
category_2,39436,11/12/2021,2
category_1,379249,1/24/2022,13
category_1,1048975,1/6/2022,2
category_2,213802,1/6/2022,1
category_2,877624,1/4/2022,2
category_1,371239,11/18/2021,4
category_4,1060909,12/7/2021,39
category_2,1103056,11/17/2021,3
category_2,836125,11/17/2021,13
category_4,1060909,1/5/2022,11
category_1,43657,1/5/2022,1
category_3,131983,11/17/2021,8
category_2,1098493,10/23/2021,2
category_1,76399,11/17/2021,16
category_1,1032559,1/4/2022,5
category_1,38518,1/6/2022,3
category_2,1010068,12/9/2021,18
category_2,1076938,1/24/2022,7
category_1,1044691,2/9/2022,2
category_2,64978,2/9/2022,1
category_4,1060909,10/23/2021,16
category_2,172033,11/6/2021,28
category_3,1090024,10/30/2021,3
category_3,169504,1/4/2022,109
category_2,1067074,11/6/2021,4
category_1,1021264,12/7/2021,1
category_1,76399,12/9/2021,4
category_2,1071106,11/6/2021,1
category_2,30877,11/6/2021,10
category_3,1047130,1/6/2022,5
category_2,118033,12/9/2021,1
category_1,48940,2/9/2022,2
category_2,110320,11/17/2021,5
category_1,145978,12/9/2021,4
category_2,1006108,1/5/2022,20
category_3,1101661,10/30/2021,11
category_2,1064473,2/8/2022,1
category_1,1050046,12/9/2021,1
category_1,839374,2/9/2022,8
category_2,877624,11/6/2021,2
category_4,1003192,2/9/2022,11
category_1,1047967,1/4/2022,14
category_2,59749,1/6/2022,7
category_2,1044502,11/18/2021,4
category_2,174436,10/23/2021,15
category_2,110320,11/18/2021,5
category_2,1044502,10/30/2021,1
category_2,838456,10/30/2021,6
category_1,42424,1/5/2022,2
category_2,43630,12/7/2021,8
category_2,913561,2/8/2022,2
category_2,745945,11/12/2021,8
category_2,262384,1/24/2022,1
category_1,36898,1/24/2022,7
category_2,1006090,2/8/2022,5
category_1,839374,1/5/2022,6
category_2,1090240,10/30/2021,1
category_1,1032532,1/6/2022,8
category_2,87046,12/9/2021,3
category_4,1024810,12/9/2021,2
category_1,59047,11/18/2021,1
category_2,130993,2/8/2022,7
category_1,42424,11/18/2021,1
category_1,24136,1/24/2022,10
category_3,131983,1/5/2022,10
category_4,123307,2/9/2022,2
category_1,36898,10/23/2021,12
category_1,379249,10/30/2021,3
category_2,20824,2/8/2022,26
category_2,57058,11/12/2021,2
category_1,3427,11/12/2021,7
category_3,1090024,11/12/2021,2
category_2,32245,2/9/2022,2
category_3,16936,11/17/2021,4
category_3,1060630,1/5/2022,2
category_1,1048975,11/18/2021,3
category_2,41830,2/9/2022,2
category_1,36898,1/5/2022,7
category_2,1067074,1/24/2022,3
category_1,1047967,11/18/2021,12
category_1,1054978,10/30/2021,4
category_2,837943,1/24/2022,14
category_4,1074823,11/12/2021,40
category_3,1066570,11/12/2021,2
category_2,836125,1/6/2022,5
category_2,173617,12/9/2021,4
category_1,1044682,1/6/2022,5
category_2,1103056,12/7/2021,5
category_2,1071106,11/17/2021,2
category_2,75886,1/4/2022,1
category_3,169504,11/17/2021,128
category_4,753613,10/23/2021,2
category_2,111382,1/6/2022,2
category_1,1032541,12/7/2021,19
category_1,371104,2/9/2022,5
category_4,123307,1/6/2022,99
category_2,210868,1/24/2022,3
category_3,37861,1/6/2022,6
category_1,42496,10/30/2021,5
category_2,1090276,1/24/2022,1
category_4,1003156,12/9/2021,8
category_3,1081087,12/9/2021,1
category_2,1101769,2/8/2022,3
category_2,1090258,2/9/2022,7
